brand,sentiment,total_words,words,own_ratio,total_ratio,odds.ratio,direction
BenRiach,anger,10438,174.0,0.01676405785994827,0.01805587484422074,-0.10709691756924594,a
BenRiach,anticipation,10438,576.0,0.05527349362965801,0.054584188292094146,0.01810470466114829,b
BenRiach,disgust,10438,392.0,0.03764728422262669,0.03530989560699559,0.09247324057031413,b
BenRiach,fear,10438,171.0,0.016476674010920588,0.01780227637249029,-0.11163668121172757,a
BenRiach,joy,10438,633.0,0.060733786761184023,0.05542922526541431,0.13185248104642225,b
BenRiach,negative,10438,607.0,0.05824312673627742,0.06256585673196113,-0.10328776075463733,a
BenRiach,positive,10438,1350.0,0.12941852667880066,0.13041148269918745,-0.011026745552960297,a
BenRiach,sadness,10438,245.0,0.02356547562027014,0.02120217312007962,0.1524626578327526,b
BenRiach,surprise,10438,458.0,0.04396972890123575,0.036466587885671795,0.2699354219722086,b
BenRiach,trust,10438,654.0,0.06274547370437782,0.06192397008627474,0.0190134216400241,b
GlenDronach,anger,14027,232.0,0.016609637867122898,0.01805587484422074,-0.1204477043417003,a
GlenDronach,anticipation,14027,780.0,0.055674365554605074,0.054584188292094146,0.028530114563239405,b
GlenDronach,disgust,14027,471.0,0.03364699173082407,0.03530989560699559,-0.06959503192085686,a
GlenDronach,fear,14027,238.0,0.017037353863701168,0.01780227637249029,-0.06336044752748303,a
GlenDronach,joy,14027,803.0,0.05731394354148845,0.05542922526541431,0.048239322491537576,b
GlenDronach,negative,14027,810.0,0.057812945537496434,0.06256585673196113,-0.11398298957535581,a
GlenDronach,positive,14027,1820.0,0.12981180496150557,0.13041148269918745,-0.006649317496212507,a
GlenDronach,sadness,14027,369.0,0.026375819788993442,0.02120217312007962,0.31500379341541895,b
GlenDronach,surprise,14027,489.0,0.03493013972055888,0.036466587885671795,-0.0621028020334346,a
GlenDronach,trust,14027,945.0,0.06743655546050756,0.06192397008627474,0.12303287896020075,b
Glenglassaugh,anger,1574,21.0,0.013968253968253968,0.01805587484422074,-0.370316628380512,a
Glenglassaugh,anticipation,1574,94.0,0.06031746031746032,0.054584188292094146,0.1440925867303792,b
Glenglassaugh,disgust,1574,47.0,0.030476190476190476,0.03530989560699559,-0.21238997858337072,a
Glenglassaugh,fear,1574,24.0,0.015873015873015872,0.01780227637249029,-0.16548546375533554,a
Glenglassaugh,joy,1574,90.0,0.057777777777777775,0.05542922526541431,0.05986787348947658,b
Glenglassaugh,negative,1574,78.0,0.05015873015873016,0.06256585673196113,-0.3188747436373544,a
Glenglassaugh,positive,1574,210.0,0.13396825396825396,0.13041148269918745,0.03882026621230564,b
Glenglassaugh,sadness,1574,25.0,0.01650793650793651,0.02120217312007962,-0.36105234698162936,a
Glenglassaugh,surprise,1574,66.0,0.04253968253968254,0.036466587885671795,0.22223405139993865,b
Glenglassaugh,trust,1574,103.0,0.06603174603174604,0.06192397008627474,0.09266182574006915,b
Jack Daniel's,anger,5090,89.0,0.01767825574543312,0.01805587484422074,-0.030492387677312834,a
Jack Daniel's,anticipation,5090,242.0,0.047731290512669416,0.054584188292094146,-0.19354775498396615,a
Jack Daniel's,disgust,5090,176.0,0.0347672362993518,0.03530989560699559,-0.02234416621070771,a
Jack Daniel's,fear,5090,83.0,0.016499705362404242,0.01780227637249029,-0.10962146774047826,a
Jack Daniel's,joy,5090,234.0,0.04615989000196425,0.05542922526541431,-0.2640070571333984,a
Jack Daniel's,negative,5090,294.0,0.057945393832252994,0.06256585673196113,-0.11068158455443225,a
Jack Daniel's,positive,5090,653.0,0.12846199175014733,0.13041148269918745,-0.021729333985975267,a
Jack Daniel's,sadness,5090,138.0,0.02730308387350226,0.02120217312007962,0.36485177061160734,b
Jack Daniel's,surprise,5090,147.0,0.029070909448045572,0.036466587885671795,-0.3269990104180624,a
Jack Daniel's,trust,5090,296.0,0.05833824395992929,0.06192397008627474,-0.08605600858943556,a
Woodford Reserve,anger,2062,39.0,0.019389238972370333,0.01805587484422074,0.10278785525770956,b
Woodford Reserve,anticipation,2062,95.0,0.0465341735336888,0.054584188292094146,-0.23019251349125597,a
Woodford Reserve,disgust,2062,86.0,0.04217159476490548,0.03530989560699559,0.25619902393235794,b
Woodford Reserve,fear,2062,19.0,0.009694619486185167,0.01780227637249029,-0.8768055512545413,a
Woodford Reserve,joy,2062,123.0,0.060106640814348036,0.05542922526541431,0.116877551065812,b
Woodford Reserve,negative,2062,116.0,0.05671352399418323,0.06256585673196113,-0.14168276484289624,a
Woodford Reserve,positive,2062,332.0,0.16141541444498303,0.13041148269918745,0.307707451964539,b
Woodford Reserve,sadness,2062,43.0,0.021328162869607366,0.02120217312007962,0.008547560902731826,b
Woodford Reserve,surprise,2062,72.0,0.03538536112457586,0.036466587885671795,-0.04342257278965999,a
Woodford Reserve,trust,2062,128.0,0.06253029568589433,0.06192397008627474,0.01405737041038754,b
